id,"X","city","area","rooms","bathroom","parking.spaces","floor","animal","furniture","hoa","rent.amount","property.tax","fire.insurance","total"
"148",147,1,70,3,2,2,"3","not acept","not furnished","R$750","R$1,500","R$148","R$20","R$2,418"
"149",148,1,90,1,1,2,"-","acept","furnished","R$0","R$3,200","R$137","R$49","R$3,386"
"150",149,1,260,4,5,4,"9","acept","furnished","R$2,014","R$3,300","R$1,000","R$42","R$6,356"
"151",150,1,243,3,3,4,"10","acept","not furnished","R$2,678","R$5,500","R$1,950","R$70","R$10,200"
"152",151,1,100,1,1,0,"-","acept","not furnished","R$0","R$1,530","R$0","R$12","R$1,542"
"153",152,1,240,3,4,3,"9","acept","not furnished","R$3,211","R$5,100","R$1,102","R$65","R$9,478"
"154",153,0,45,1,1,1,"4","acept","not furnished","R$700","R$870","R$46","R$12","R$1,628"
"155",154,1,65,1,1,1,"2","acept","furnished","R$680","R$5,000","R$14","R$64","R$5,758"
"156",155,1,47,1,1,0,"4","not acept","not furnished","R$100","R$1,000","R$76","R$13","R$1,189"
"157",156,1,60,2,1,0,"2","acept","furnished","R$589","R$3,300","R$65","R$42","R$3,996"
"158",157,1,340,4,6,6,"-","acept","furnished","Sem info","R$15,000","R$250","R$226","R$15,480"
"159",158,1,500,4,4,0,"-","acept","not furnished","R$0","R$6,000","R$467","R$91","R$6,558"
"160",159,1,55,2,1,1,"14","acept","not furnished","R$420","R$1,399","R$0","R$18","R$1,837"
"161",160,1,240,3,4,3,"3","acept","furnished","R$3,600","R$4,950","R$1,000","R$63","R$9,613"
"162",161,1,65,2,2,1,"1","acept","not furnished","R$650","R$2,315","R$0","R$7","R$2,972"
"163",162,1,68,1,1,0,"-","not acept","not furnished","R$0","R$1,213","R$0","R$6","R$1,219"
"164",163,1,500,4,4,3,"-","acept","not furnished","Sem info","R$10,800","R$988","R$163","R$11,950"
"165",164,1,198,2,2,2,"13","acept","not furnished","R$1,700","R$5,500","R$320","R$70","R$7,590"
"166",165,1,62,2,1,1,"13","acept","not furnished","R$543","R$2,200","R$59","R$28","R$2,830"
"167",166,1,60,2,2,1,"4","acept","not furnished","R$632","R$2,806","R$25","R$36","R$3,499"
"168",167,1,187,3,2,3,"-","not acept","furnished","R$1,700","R$8,400","R$584","R$127","R$10,810"
"169",168,1,25,1,1,0,"23","acept","not furnished","R$432","R$2,200","R$45","R$28","R$2,705"
"170",169,1,230,3,4,3,"-","acept","not furnished","R$0","R$3,600","R$409","R$55","R$4,064"
"171",170,1,17,1,1,0,"1","not acept","furnished","R$300","R$2,400","R$50","R$31","R$2,781"
"172",171,1,67,2,2,1,"17","acept","not furnished","R$740","R$2,200","R$170","R$28","R$3,138"
"173",172,1,20,1,1,0,"1","acept","furnished","Incluso","R$2,060","R$0","R$27","R$2,087"
"174",173,1,118,3,2,2,"7","acept","furnished","R$1,880","R$8,500","R$434","R$108","R$10,920"
"175",174,1,43,1,1,1,"2","acept","not furnished","R$850","R$2,430","R$172","R$31","R$3,483"
"176",175,1,195,2,3,1,"10","acept","not furnished","R$1,500","R$6,000","R$334","R$77","R$7,911"
"177",176,1,141,3,4,3,"7","not acept","not furnished","R$1,646","R$7,500","R$735","R$96","R$9,977"
"178",177,1,45,1,1,1,"1","not acept","not furnished","R$550","R$2,300","R$0","R$30","R$2,880"
"179",178,1,48,1,1,1,"19","acept","not furnished","R$588","R$1,525","R$0","R$6","R$2,119"
"180",179,1,280,3,4,2,"3","not acept","not furnished","R$4,000","R$6,000","R$1,059","R$77","R$11,140"
"181",180,1,170,3,2,2,"5","not acept","not furnished","R$2,199","R$5,000","R$423","R$64","R$7,686"
"182",181,1,90,3,2,1,"-","acept","not furnished","R$0","R$3,260","R$0","R$50","R$3,310"
"183",182,0,35,1,1,1,"7","acept","not furnished","R$392","R$1,100","R$13","R$14","R$1,519"
"184",183,1,16,1,1,0,"8","not acept","not furnished","R$390","R$2,300","R$100","R$30","R$2,820"
"185",184,0,68,1,1,1,"10","not acept","furnished","R$600","R$1,000","R$48","R$13","R$1,661"
"186",185,1,80,3,5,2,"4","not acept","not furnished","R$3,460","R$12,000","R$1,000","R$153","R$16,610"
"187",186,1,190,3,2,1,"6","acept","furnished","R$3,040","R$8,000","R$556","R$102","R$11,700"
"188",187,1,150,3,4,2,"-","not acept","not furnished","R$0","R$3,400","R$0","R$52","R$3,452"
"189",188,1,112,3,3,2,"12","acept","furnished","R$1,100","R$2,670","R$188","R$34","R$3,992"
"190",189,1,145,3,4,3,"1","not acept","not furnished","R$1,200","R$6,000","R$750","R$77","R$8,027"
"191",190,0,47,1,1,1,"8","acept","not furnished","R$560","R$1,100","R$46","R$14","R$1,720"
"192",191,1,128,3,2,1,"3","acept","furnished","R$1,094","R$4,529","R$242","R$58","R$5,923"
"193",192,1,250,3,4,4,"-","acept","not furnished","R$0","R$4,500","R$334","R$68","R$4,902"
"194",193,1,120,3,1,0,"2","acept","not furnished","R$250","R$1,460","R$0","R$21","R$1,731"
"195",194,1,110,2,2,2,"-","not acept","not furnished","R$0","R$2,700","R$300","R$41","R$3,041"
"196",195,1,400,2,5,4,"-","acept","not furnished","R$0","R$6,000","R$484","R$91","R$6,575"
"197",196,1,35,1,1,1,"9","not acept","furnished","R$1,050","R$2,600","R$317","R$33","R$4,000"
"198",197,1,107,2,2,2,"18","acept","furnished","R$1,800","R$12,800","R$417","R$163","R$15,180"
"199",198,1,97,2,2,0,"1","acept","not furnished","R$1,200","R$5,600","R$0","R$71","R$6,871"
"200",199,1,70,2,1,0,"1","not acept","not furnished","R$350","R$1,050","R$116","R$14","R$1,530"
"201",200,1,20,1,1,0,"3","not acept","furnished","R$150","R$3,142","R$67","R$40","R$3,399"
"202",201,1,130,3,2,2,"6","acept","not furnished","R$1,100","R$3,500","R$209","R$45","R$4,854"
"203",202,1,120,3,2,3,"16","acept","not furnished","R$1,400","R$2,000","R$292","R$26","R$3,718"
"204",203,1,110,3,3,2,"2","acept","furnished","R$1,000","R$3,800","R$192","R$49","R$5,041"
"205",204,1,300,3,5,3,"-","acept","not furnished","R$0","R$11,900","R$250","R$179","R$12,330"
"206",205,1,349,4,5,4,"8","not acept","not furnished","R$3,100","R$11,000","R$0","R$140","R$14,240"
"207",206,1,97,3,2,2,"1","acept","not furnished","R$730","R$3,000","R$303","R$39","R$4,072"
"208",207,1,84,4,1,3,"5","not acept","not furnished","R$1,914","R$6,000","R$804","R$77","R$8,795"
"209",208,1,180,2,2,1,"-","not acept","not furnished","R$0","R$2,800","R$105","R$43","R$2,948"
"210",209,1,286,4,4,5,"-","acept","not furnished","R$0","R$10,000","R$1,000","R$151","R$11,150"
"211",210,1,500,5,7,5,"22","acept","not furnished","R$5,500","R$14,000","R$2,084","R$178","R$21,760"
"212",211,1,110,3,3,3,"4","acept","not furnished","R$1,195","R$2,350","R$670","R$30","R$4,245"
"213",212,1,196,4,4,0,"11","acept","not furnished","R$2,450","R$6,000","R$1,458","R$77","R$9,985"
"214",213,1,33,1,1,1,"12","not acept","not furnished","R$552","R$4,150","R$95","R$53","R$4,850"
"215",214,1,400,4,4,3,"-","acept","not furnished","Sem info","R$9,000","R$542","R$136","R$9,678"
"216",215,1,170,2,1,0,"1","acept","furnished","R$0","R$2,481","R$0","R$26","R$2,507"
"217",216,1,90,1,1,0,"-","acept","not furnished","R$0","R$2,200","R$109","R$34","R$2,343"
"218",217,1,184,3,4,3,"12","acept","not furnished","R$2,700","R$1,400","R$692","R$18","R$4,810"
"219",218,1,117,2,2,1,"11","not acept","furnished","R$630","R$7,130","R$150","R$91","R$8,001"
"220",219,1,11,1,1,0,"-","not acept","furnished","R$0","R$1,181","R$0","R$15","R$1,196"
"221",220,0,57,1,1,1,"2","acept","not furnished","R$605","R$800","R$66","R$11","R$1,482"
"222",221,1,16,1,1,0,"1","not acept","not furnished","R$0","R$850","R$30","R$11","R$891"
"223",222,1,180,4,3,1,"4","acept","furnished","R$1,572","R$5,000","R$240","R$64","R$6,876"
"224",223,1,250,3,4,2,"16","acept","not furnished","R$3,300","R$6,000","R$517","R$77","R$9,894"
"225",224,1,220,3,4,2,"-","acept","furnished","R$0","R$7,000","R$434","R$106","R$7,540"
"226",225,1,360,3,5,4,"22","acept","not furnished","R$2,398","R$3,135","R$1,467","R$40","R$7,040"
"227",226,1,122,3,4,3,"5","acept","not furnished","Incluso","R$4,500","R$0","R$58","R$4,558"
"228",227,1,138,3,4,3,"2","not acept","not furnished","R$790","R$7,000","R$690","R$89","R$8,569"
"229",228,1,110,3,1,1,"1","acept","not furnished","R$1,235","R$1,400","R$0","R$18","R$2,653"
"230",229,1,220,4,3,3,"3","acept","not furnished","R$1,600","R$3,400","R$0","R$44","R$5,044"
"231",230,1,118,3,2,1,"11","not acept","not furnished","R$1,116","R$4,775","R$185","R$61","R$6,137"
"232",231,1,180,2,2,1,"15","acept","not furnished","R$1,800","R$5,350","R$0","R$68","R$7,218"
"233",232,1,52,2,1,1,"7","acept","not furnished","R$540","R$1,300","R$63","R$17","R$1,920"
"234",233,1,30,1,1,0,"1","acept","furnished","R$0","R$1,550","R$21","R$20","R$1,591"
"235",234,1,160,3,3,2,"5","acept","furnished","R$1,650","R$1,500","R$419","R$20","R$3,589"
"236",235,0,209,3,3,2,"-","not acept","not furnished","R$593","R$2,550","R$237","R$39","R$3,419"
"237",236,1,450,5,5,6,"-","acept","not furnished","R$0","R$9,500","R$1,345","R$143","R$10,990"
"238",237,1,117,3,3,3,"10","acept","not furnished","R$2,280","R$2,300","R$700","R$30","R$5,310"
"239",238,1,900,4,6,8,"-","acept","not furnished","R$0","R$15,000","R$4,417","R$226","R$19,640"
"240",239,1,200,3,3,0,"-","acept","not furnished","Sem info","R$4,500","R$71","R$68","R$4,639"
"241",240,1,128,3,3,2,"10","acept","not furnished","R$2,600","R$3,800","R$605","R$49","R$7,054"
"242",241,1,140,3,2,2,"2","acept","not furnished","R$1,480","R$3,700","R$167","R$47","R$5,394"
"243",242,1,180,3,3,4,"27","acept","not furnished","R$2,000","R$7,000","R$859","R$89","R$9,948"
"244",243,1,280,4,4,5,"9","acept","not furnished","R$3,000","R$3,200","R$875","R$41","R$7,116"
"245",244,1,420,4,6,4,"8","acept","not furnished","R$3,500","R$15,000","R$2,250","R$191","R$20,940"
"246",245,1,48,1,1,1,"8","acept","furnished","R$740","R$2,700","R$137","R$35","R$3,612"
"247",246,1,148,3,2,2,"2","not acept","furnished","R$2,830","R$9,000","R$267","R$115","R$12,210"
"248",247,1,75,2,1,1,"5","not acept","not furnished","R$748","R$2,000","R$0","R$26","R$2,774"
"249",248,1,44,1,1,0,"1","not acept","not furnished","R$417","R$3,016","R$0","R$12","R$3,445"
"250",249,1,35,1,1,0,"-","acept","not furnished","R$0","R$1,100","R$30","R$14","R$1,144"
"251",250,1,320,4,2,2,"-","acept","furnished","R$0","R$8,000","R$642","R$121","R$8,763"
"252",251,0,98,3,2,1,"1","acept","not furnished","R$727","R$1,233","R$84","R$16","R$2,060"
"253",252,0,51,1,1,0,"12","not acept","furnished","R$707","R$1,300","R$45","R$17","R$2,069"
"254",253,1,322,4,5,5,"17","acept","furnished","R$2,700","R$15,000","R$1,875","R$191","R$19,770"
"255",254,1,187,4,5,3,"5","acept","not furnished","R$3,912","R$5,300","R$1,424","R$68","R$10,700"
"256",255,1,62,3,2,1,"6","not acept","furnished","R$1,550","R$4,800","R$167","R$61","R$6,578"
"257",256,1,130,2,2,1,"-","acept","not furnished","R$1,100","R$4,300","R$100","R$55","R$5,555"
"258",257,0,600,4,6,3,"-","acept","not furnished","R$1,123","R$5,500","R$819","R$83","R$7,525"
"259",258,1,520,3,4,2,"-","acept","not furnished","R$0","R$9,000","R$1,500","R$136","R$10,640"
"260",259,1,86,1,2,1,"13","acept","furnished","R$1,800","R$6,500","R$375","R$83","R$8,758"
"261",260,1,72,2,2,1,"6","acept","not furnished","R$1,100","R$5,431","R$334","R$69","R$6,934"
"262",261,1,550,4,4,4,"-","acept","not furnished","R$0","R$14,000","R$1,334","R$211","R$15,550"
"263",262,1,50,1,1,0,"-","not acept","not furnished","R$0","R$1,220","R$0","R$19","R$1,239"
"264",263,1,298,5,3,3,"-","acept","not furnished","R$0","R$8,000","R$1,384","R$121","R$9,505"
"265",264,0,74,3,2,1,"10","acept","not furnished","R$700","R$1,800","R$120","R$23","R$2,643"
"266",265,1,41,1,1,0,"17","acept","furnished","R$450","R$2,470","R$0","R$32","R$2,952"
"267",266,0,80,3,2,2,"2","acept","not furnished","R$750","R$1,450","R$110","R$19","R$2,329"
